ticker,total_mentions,unique_authors,across_days,mean_compound
TSLA,229,213,53,0.0233585152838428
GOOG,203,114,106,0.49318128078817736
NVDA,186,174,77,0.2316543010752688
MSFT,125,108,72,0.123408
GME,98,90,30,0.15054897959183675
PLTR,92,82,41,0.20026413043478258
AMZN,91,84,46,0.19335054945054944
WMT,87,76,22,0.06136206896551724
AAPL,84,74,46,0.18822738095238095
INTC,45,40,22,0.10288222222222222
META,44,37,26,0.036490909090909095
DIS,32,25,16,0.1593125
AMD,32,26,27,0.375009375
AMC,30,26,20,0.16269333333333333
COST,26,19,20,0.08965769230769231
ORCL,25,21,16,0.239316
UNH,18,16,15,0.4094777777777778
NFLX,16,11,12,0.28841875
KO,16,7,15,-0.025993749999999996
SOFI,14,12,13,0.010435714285714283
UBER,12,8,11,0.3914166666666667
PEP,12,3,12,-0.7316916666666667
MS,11,8,10,-0.10371818181818183
BAC,9,6,9,-0.20202222222222221
XOM,8,3,8,0.07696250000000002
MRNA,7,4,7,0.31524285714285716
JPM,7,5,7,-0.07437142857142857
PYPL,7,5,7,0.10179999999999999
SNOW,7,5,7,-0.3113142857142857
CVX,7,2,7,0.008328571428571439
NKE,6,5,6,-0.01488333333333334
PFE,6,3,5,0.6413833333333333
BA,6,3,6,-0.10586666666666666
LYFT,6,1,6,0.5805166666666667
ADBE,5,3,5,0.34466
HD,5,4,5,-0.23748
GS,4,2,4,-0.18820000000000003
CRM,4,2,4,-0.21815
LOW,3,1,3,-0.6168
